Date_Time_PH,Latitude,Longitude,Depth_In_Km,Magnitude,Location,Specific_Location,General_Location
30/10/2025 23:04,11.02,124.13,1,1.7,016 km S 81° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 23:04,11.11,124.11,8,1.7,016 km N 64° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 22:44,11.16,124.12,5,2.2,020 km N 50° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 22:44,11.18,124.12,10,2.2,022 km N 46° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 21:13,11.08,124.05,16,1.4,009 km N 65° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 21:13,11.14,124.07,33,1.3,014 km N 43° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 20:13,11.11,124.1,4,2.5,015 km N 63° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 20:13,11.15,124.13,5,2.5,020 km N 56° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:49,11.03,124.03,28,1.5,005 km S 76° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:49,11.07,123.93,24,1.4,006 km N 62° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:31,11.18,124.13,6,2,022 km N 47° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:31,11.2,124.12,6,2,023 km N 42° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:21,10.93,123.94,1,2.2,013 km S 18° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:21,10.94,123.89,1,2.2,016 km S 40° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:16,10.9,123.91,6,2.1,018 km S 26° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 19:16,10.93,123.78,3,2.1,026 km S 59° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 18:42,11.15,123.96,20,2.1,012 km N 09° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 18:37,11.01,124.1,32,1.8,013 km S 74° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 18:37,10.87,123.97,5,2.1,020 km S 03° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 18:01,11.12,124.18,6,2.5,023 km N 69° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 18:01,11.2,124.23,17,2.5,032 km N 57° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 17:40,11.13,124.18,9,1.8,024 km N 66° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 17:26,11.17,124.14,2,3.3,022 km N 52° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 17:26,11.2,124.14,3,3.3,024 km N 48° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 16:52,11.13,124.1,28,2.2,016 km N 56° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 15:30,11.12,124.08,9,2.2,014 km N 52° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 15:30,11.12,124.08,9,2.1,013 km N 55° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 12:18,11.13,123.89,6,1.8,014 km N 46° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 12:04,11.03,123.95,34,1.8,003 km S 65° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 12:04,11.03,124,28,1.9,003 km S 46° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 12:01,11.02,124.1,32,2.5,013 km S 79° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 12:01,10.94,123.98,5,2.5,012 km S 01° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 11:40,11,124.03,5,2.6,008 km S 50° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 11:40,11,124.03,5,2.4,007 km S 45° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 10:37,11.13,124.18,8,2.2,024 km N 66° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
